mass_g,year,reclat,reclong,time_period,mass_kg
21,1880,50.775,6.08333,1950 and older,0.021
720,1951,56.18333,10.23333,1951 to 1960,0.72
107000,1952,54.21667,-113,1951 to 1960,107
1914,1976,16.88333,-99.9,1971 to 1980,1.914
780,1902,-33.16667,-64.95,1950 and older,0.78
4239,1919,32.1,71.8,1950 and older,4.239
910,1949,44.83333,95.16667,1950 and older,0.91
30000,1814,44.21667,0.61667,1950 and older,30
1620,1930,-31.6,-65.23333,1950 and older,1.62
1440,1920,-30.86667,-64.55,1950 and older,1.44
1000,1974,16.39806,-9.57028,1971 to 1980,1
24000,1925,19.08333,8.38333,1950 and older,24
779,1949,29.51667,35.05,1950 and older,0.779
1800,1838,29.71667,77.95,1950 and older,1.8
3000,1959,8.91667,8.43333,1951 to 1960,3
50000,1981,39.91667,42.81667,1981 to 1990,50
160,1957,24.41667,39.51667,1951 to 1960,0.16
700,2001,13.66033,28.96,2001 to 2010,0.7
6000,1806,44.11667,4.08333,1950 and older,6
2000,1766,44.65,11.01667,1950 and older,2
625,1949,2,22.66667,1950 and older,0.625
252,2002,45.82133,6.01533,2001 to 2010,0.252
700,1835,51.78333,-1.78333,1950 and older,0.7
3200,1873,36.23333,37.13333,1950 and older,3.2
908,1860,44.88333,8.75,1950 and older,0.908
9251,1900,50.95,31.81667,1950 and older,9.251
228000,1883,45.26667,10.15,1950 and older,228
32000,1899,42.53333,-85.88333,1950 and older,32
2000000,1969,26.96667,-105.31667,1961 to 1970,2000
3950,2008,20.74575,32.41275,2001 to 2010,3.95
6000,1977,35.27333,44.21556,1971 to 1980,6
6400,1895,27.66667,78.25,1950 and older,6.4
2700,1880,26.58333,85.56667,1950 and older,2.7
3200,1898,44.61667,-70.75,1950 and older,3.2
600,1969,48.7,37.5,1961 to 1970,0.6
17900,1939,20.88333,76.86667,1950 and older,17.9
1500,1869,-22.96667,-44.31667,1950 and older,1.5
6500,1942,9.53333,39.71667,1950 and older,6.5
2500,1971,25.15,105.18333,1971 to 1980,2.5
320,1984,40.81056,140.78556,1981 to 1990,0.32
15000,1914,53.58333,-2.71667,1950 and older,15
3200,1803,43.86667,5.38333,1950 and older,3.2
810,1954,-33,-66,1951 to 1960,0.81
5070,1932,38.5,-94.3,1950 and older,5.07
7450,1950,-31.41667,-60.66667,1950 and older,7.45
41,1805,42.45,9.03333,1950 and older,0.041
9500,2009,31.805,-97.01,2001 to 2010,9.5
1300,1923,52.05,0.3,1950 and older,1.3
2000,1886,43.03333,12.55,1950 and older,2
1280,1920,25.25417,80.625,1950 and older,1.28
94.2,1896,20.06667,-103.66667,1950 and older,0.0942
265,1933,34.75,-87,1950 and older,0.265
1384.2,1945,34.31667,-96.15,1950 and older,1.3842
800,1836,44.38333,5.16667,1950 and older,0.8
50000,1865,36.16667,3.66667,1950 and older,50
2000,1842,44.33333,3.23333,1950 and older,2
50000,1858,43.08333,0.58333,1950 and older,50
9330,1952,-21.46028,-49.95083,1951 to 1960,9.33
1230,1908,46,13.5,1950 and older,1.23
146,1855,25,-103.5,1950 and older,0.146
134,1968,2.71667,32.83333,1961 to 1970,0.134
2830,1938,36.8,-108,1950 and older,2.83
18000,1814,48.6,38,1950 and older,18
10322,1934,28.48333,78.5,1950 and older,10.322
3700,1929,35.96667,-82.48333,1950 and older,3.7
345,1922,34.5,-88.66667,1950 and older,0.345
1000,1907,5.38333,16.38333,1950 and older,1
16700,1993,16.66667,101.18333,1991 to 2000,16.7
11500,1871,-6.91667,107.6,1950 and older,11.5
15000,1892,27.7,76.33333,1950 and older,15
14,1913,30.4,78.2,1950 and older,0.014
629,1933,-6.33333,106,1950 and older,0.629
6400,1790,43.95,-0.05,1950 and older,6.4
3200,1842,42.38333,-2.5,1950 and older,3.2
23.2,1904,52.73333,84.08333,1950 and older,0.0232
17,1886,52,9.1,1950 and older,0.017
4500,1910,31.61667,76.8,1950 and older,4.5
44000,1965,52.56528,-1.33972,1961 to 1970,44
29560,2006,15.78333,-5.9,2001 to 2010,29.56
15500,1994,52.03333,20.93583,1991 to 2000,15.5
21000,1892,45.41667,-98.31667,1950 and older,21
86000,1902,38.25,-83.75,1950 and older,86
2900,2012,40.66813,-117.18913,2011 to current day,2.9
1557,1989,11.08333,-0.18333,1981 to 1990,1.557
611,1916,36.75,-93.5,1950 and older,0.611
16000,1929,39.8,-101.2,1950 and older,16
14000,1893,51.16667,-117.33333,1950 and older,14
794,1949,53.01667,-4.1,1950 and older,0.794
375,1961,33.6,-96.46667,1961 to 1970,0.375
3700,1798,25.36667,82.91667,1950 and older,3.7
25000,2004,32.25,-8.15,2001 to 2010,25
19000,2001,32.86667,10.8,2001 to 2010,19
1770.5,1938,39.08333,-89.15,1950 and older,1.7705
3880,1943,-26.16667,28.41667,1950 and older,3.88
45000,2002,30,-7,2001 to 2010,45
2840,1949,45.95,-67.55,1950 and older,2.84
270,2008,-31.91,-58.32833,2001 to 2010,0.27
18000,1924,11.65,-3.65,1950 and older,18
1440,1811,41.68333,-3.8,1950 and older,1.44
960,2004,40.30583,-105.02325,2001 to 2010,0.96
13.9,1859,42.53333,-73.83333,1950 and older,0.013900000000000001
2000,1859,43.21667,-0.23333,1950 and older,2
1100,1921,33.88333,35.5,1950 and older,1.1
18,1877,20.88333,74.83333,1950 and older,0.018
678,2002,26.50833,73.11528,2001 to 2010,0.678
100,1893,20.83333,71.46667,1950 and older,0.1
1047,1940,22.68333,90.65,1950 and older,1.047
2500,1905,22.08333,86.9,1950 and older,2.5
4000,1827,53.1,23.2,1950 and older,4
1900,1887,50.13333,27.16667,1950 and older,1.9
25000,1999,12.45,-0.08333,1991 to 2000,25
488.1,1984,-33.15639,115.67639,1981 to 1990,0.48810000000000003
560,1923,13.76667,5.3,1950 and older,0.56
6000,1843,34.16667,-80.28333,1950 and older,6
1039,1895,25.38333,82.6,1950 and older,1.039
1850,1796,49.78333,30.16667,1950 and older,1.85
330000,1899,60.4,25.8,1950 and older,330
705,1941,40.91667,-78.08333,1950 and older,0.705
2381,1906,36.83333,-97.33333,1950 and older,2.381
5100,1909,31.83333,-98.83333,1950 and older,5.1
470,1833,49.36667,16.63333,1950 and older,0.47
67.8,1938,40.48,-89.00417,1950 and older,0.0678
7500,1977,33.83333,115.83333,1971 to 1980,7.5
56,1804,23,-102,1950 and older,0.056
8800,1962,12.5,0.7,1961 to 1970,8.8
256000,1916,44.55,131.63333,1950 and older,256
1676,1808,44.86667,10.05,1950 and older,1.676
8600,1894,21.95,78.03333,1950 and older,8.6
1342,1930,54.23333,52.48333,1950 and older,1.342
7000,1852,48.15,24.28333,1950 and older,7
500,1812,55.46667,35.86667,1950 and older,0.5
614,1823,51.33333,33.88333,1950 and older,0.614
190,2003,17.71067,-11.3715,2001 to 2010,0.19
3599,2011,17.17493,-11.34133,2011 to current day,3.599
5460,1969,54.56667,-6.33333,1961 to 1970,5.46
762,1886,40.5,-80.08333,1950 and older,0.762
39000,1847,50.6,16.3,1950 and older,39
1500,1956,50.66694,8.18361,1951 to 1960,1.5
7250,1855,53.4,9.1,1950 and older,7.25
219,1933,52.13333,59.31667,1950 and older,0.219
303000,1960,53.9,-112.88333,1951 to 1960,303
5300,2001,39.77978,64.60035,2001 to 2010,5.3
324,2007,-31.35,129.19,2001 to 2010,0.324
357,1942,10.01667,9.58333,1950 and older,0.357
120000,1919,5,48,1950 and older,120
1504,1990,37.62194,-82.23722,1981 to 1990,1.504
25000,1946,40.2,29.23333,1950 and older,25
5000,1863,46.45,25.78333,1950 and older,5
1500,1852,26.78333,82.83333,1950 and older,1.5
29000,1861,27.08333,84.08333,1950 and older,29
41000,2008,52.996,-109.84817,2001 to 2010,41
25000,1870,37.98333,-1.16667,1950 and older,25
48500,1886,35.5,-93.5,1950 and older,48.5
212,1919,43.83889,20.33333,1950 and older,0.212
478,2007,3.405,-76.51,2001 to 2010,0.478
2400,1916,11.75,122.33333,1950 and older,2.4
23680,1991,-7.03333,-40.16667,1991 to 2000,23.68
4000,1964,39.8,26.6,1961 to 1970,4
945,1861,41.25,1.66667,1950 and older,0.945
34000,1866,43.38333,-5.15,1950 and older,34
1400,1973,38.47028,-105.24139,1971 to 1980,1.4
2300,1846,37.26667,-89.58333,1950 and older,2.3
750,1934,-30.88333,-64.55,1950 and older,0.75
342,2007,-16.66444,-69.04389,2001 to 2010,0.342
8,1902,38.5,27,1950 and older,0.008
7300,1874,36.08333,-78.06667,1950 and older,7.3
94,1848,44.38333,-68.75,1950 and older,0.094
15000,1583,39.8,16.2,1950 and older,15
1360,1810,36.5,-79.25,1950 and older,1.36
1025,1988,26.46667,-105.23333,1981 to 1990,1.025
45.6,1956,43.2,-96.91667,1951 to 1960,0.0456
6460,1840,45.08333,8.3,1950 and older,6.46
3700,1998,28.53333,109.31667,1991 to 2000,3.7
0.5,1814,25.36667,81.66667,1950 and older,5e-4
8200,1907,25.85,83.48333,1950 and older,8.2
18300,1933,-30.78333,-58.05,1950 and older,18.3
8800,1838,20.26667,76.01667,1950 and older,8.8
1100,1885,27.28333,79.05,1950 and older,1.1
1810,1977,29.08333,111.75,1971 to 1980,1.81
31500,1812,46.68333,1.05,1950 and older,31.5
4300,1835,36.16667,-87.33333,1950 and older,4.3
27000,1810,47.93333,1.56667,1950 and older,27
12000,1834,29.48333,75.5,1950 and older,12
4000,1815,47.71667,5.36667,1950 and older,4
30000,1841,47.93333,2.91667,1950 and older,30
2945,1925,41.93333,-7.46667,1950 and older,2.945
2936,1988,-3.66667,32.5,1981 to 1990,2.936
100000,2013,54.81667,61.11667,2011 to current day,100
100000,2007,23.69639,-5.01472,2001 to 2010,100
6000,1964,53.7,30.1,1961 to 1970,6
8400,1933,35.03333,-81.88333,1950 and older,8.4
705,1901,46.55,6.81667,1950 and older,0.705
1700,1939,50.83333,34,1950 and older,1.7
72,1880,14.5,76.5,1950 and older,0.072
367,1981,17.9,101.63333,1981 to 1990,0.367
303,1938,40.93333,-79.73333,1950 and older,0.303
3920,1988,-10.05944,33.395,1981 to 1990,3.92
4000,1978,47.47083,0.97667,1971 to 1980,4
1600,1979,-6.95,108.1,1971 to 1980,1.6
1455,1984,32.1025,-81.87278,1981 to 1990,1.455
104000,1917,44.9,-90.28333,1950 and older,104
5200,1838,-33.13333,19.38333,1950 and older,5.2
469,1994,43.76111,-84.50778,1991 to 2000,0.469
5000,1890,42.53333,12.61667,1950 and older,5
20350,1965,-19.85,-47.55,1961 to 1970,20.35
1200,1844,21.16667,-100.86667,1950 and older,1.2
1460,1917,10.2,76.26667,1950 and older,1.46
78.4,1936,35.95,-97.58333,1950 and older,0.07840000000000001
3650,1877,-27.7,27.3,1950 and older,3.65
167,1892,35.63333,-78.13333,1950 and older,0.167
4255,1902,54.61667,-6.21667,1950 and older,4.255
17000,1919,36.83333,-84.35,1950 and older,17
6000,1877,38.4,-84.25,1950 and older,6
18000,1981,35.61667,8.83333,1981 to 1990,18
5650,1878,26.91667,83.96667,1950 and older,5.65
1064,1868,-28.2,24.56667,1950 and older,1.064
2000,1868,34.4,-87.06667,1950 and older,2
100,1804,49.86667,8.65,1950 and older,0.1
7000,1998,41.98444,59.685,1991 to 2000,7
6580,2008,-1.87089,-79.95756,2001 to 2010,6.58
340,1887,43,-80,1950 and older,0.34
28,1829,40.25,-74,1950 and older,0.028
0.8,1897,28.56667,77.25,1950 and older,8e-4
16400,1911,51.46667,84.76667,1950 and older,16.4
230,1967,39.7825,-104.93056,1961 to 1970,0.23
12500,2001,26.68333,93.86667,2001 to 2010,12.5
25400,1962,25.73333,73.61667,1961 to 1970,25.4
12000,2001,19,81,2001 to 2010,12
