mass_g,year,reclat,reclong,time_period,mass_kg,us_state
32000,1899,42.53333,-85.88333,1950 and older,32,michigan:south
3200,1898,44.61667,-70.75,1950 and older,3.2,maine
5070,1932,38.5,-94.3,1950 and older,5.07,missouri
9500,2009,31.805,-97.01,2001 to 2010,9.5,texas
265,1933,34.75,-87,1950 and older,0.265,alabama
1384.2,1945,34.31667,-96.15,1950 and older,1.3842,oklahoma
2830,1938,36.8,-108,1950 and older,2.83,new mexico
3700,1929,35.96667,-82.48333,1950 and older,3.7,north carolina:main
345,1922,34.5,-88.66667,1950 and older,0.345,mississippi
21000,1892,45.41667,-98.31667,1950 and older,21,south dakota
86000,1902,38.25,-83.75,1950 and older,86,kentucky
2900,2012,40.66813,-117.18913,2011 to current day,2.9,nevada
611,1916,36.75,-93.5,1950 and older,0.611,missouri
16000,1929,39.8,-101.2,1950 and older,16,kansas
375,1961,33.6,-96.46667,1961 to 1970,0.375,texas
1770.5,1938,39.08333,-89.15,1950 and older,1.7705,illinois
960,2004,40.30583,-105.02325,2001 to 2010,0.96,colorado
13.9,1859,42.53333,-73.83333,1950 and older,0.013900000000000001,new york:main
6000,1843,34.16667,-80.28333,1950 and older,6,south carolina
705,1941,40.91667,-78.08333,1950 and older,0.705,pennsylvania
2381,1906,36.83333,-97.33333,1950 and older,2.381,oklahoma
5100,1909,31.83333,-98.83333,1950 and older,5.1,texas
67.8,1938,40.48,-89.00417,1950 and older,0.0678,illinois
762,1886,40.5,-80.08333,1950 and older,0.762,pennsylvania
1504,1990,37.62194,-82.23722,1981 to 1990,1.504,kentucky
48500,1886,35.5,-93.5,1950 and older,48.5,arkansas
1400,1973,38.47028,-105.24139,1971 to 1980,1.4,colorado
2300,1846,37.26667,-89.58333,1950 and older,2.3,missouri
7300,1874,36.08333,-78.06667,1950 and older,7.3,north carolina:main
94,1848,44.38333,-68.75,1950 and older,0.094,maine
1360,1810,36.5,-79.25,1950 and older,1.36,north carolina:main
45.6,1956,43.2,-96.91667,1951 to 1960,0.0456,south dakota
4300,1835,36.16667,-87.33333,1950 and older,4.3,tennessee
8400,1933,35.03333,-81.88333,1950 and older,8.4,south carolina
303,1938,40.93333,-79.73333,1950 and older,0.303,pennsylvania
